# rom	genre	players	orientation	parent	title	year	maker -- made by tools/make-gameinfo.py from FinalBurn Neo
sf2mdtb	Fighting	2	horizontal	sf2ce	Street Fighter II': Magic Delta Turbo (bootleg, set 3)	1993	bootleg
sf2mdtc	Fighting	2	horizontal	sf2ce	Street Fighter II': Magic Delta Turbo (bootleg, set 4)	1993	bootleg
sf2mega	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (Mega Co, bootleg, set 1)	1992	Mega Co
sf2mega2	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (Mega Co, bootleg, set 2)	1992	Mega Co
sf2mix	Fighting	2	horizontal	sf2ce	Street Fighter II Mix (v1.6)	2025	hack
sf2mkot	Fighting	2	horizontal	sf2ce	Street Fighter II': Magic KO Turbo!! - Nightmare Crack (set 1)	1992	bootleg
sf2mkot2	Fighting	2	horizontal	sf2ce	Street Fighter II': Magic KO Turbo!! - Nightmare Crack (set 2)	1992	bootleg
sf2pp	Fighting	2	horizontal	sf2	Street Fighter II Plus Plus (Ver. 2020/07/19, Hack)	2020	Yumeji
sf2prime	Fighting	2	horizontal	hsf2	Street Fighter II': Prime (Ver 0.80, Hack)	2026	Zero800
sf2qp1	Fighting	2	horizontal	sf2	Street Fighter II: The World Warrior (Quicken Pt-I, bootleg)	1991	bootleg
sf2qp2	Fighting	2	horizontal	sf2	Street Fighter II: The World Warrior (Quicken, bootleg)	1991	bootleg
sf2rb	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (Rainbow, bootleg, set 1)	1992	bootleg
sf2rb2	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (Rainbow, bootleg, set 2)	1992	bootleg
sf2rb3	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (Rainbow, bootleg, set 3)	1992	bootleg
sf2rb4	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (Rainbow, bootleg, set 4)	1992	bootleg
sf2rb5	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (Rainbow, bootleg, set 5)	1992	bootleg
sf2rb6	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (Rainbow, bootleg, set 6)	1992	bootleg
sf2re	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (RE, bootleg)	1992	bootleg
sf2red	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (Red Wave, bootleg, set 1)	1992	bootleg
sf2red2	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (Red Wave, bootleg, set 3)	1992	bootleg
sf2reda	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (Red Wave, bootleg, set 2)	1992	bootleg
sf2redp2	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (Red Wave PtII, bootleg)	1992?	bootleg
sf2rk	Fighting	2	horizontal	sf2	Street Fighter II: The World Warrior (RK, bootleg, set 1)	1992	bootleg
sf2rk2	Fighting	2	horizontal	sf2	Street Fighter II: The World Warrior (RK, bootleg, set 2)	1991	bootleg
sf2rules	Fighting	2	horizontal	sf2	Street Fighter II: The World Warrior (bootleg with rules screen)	1992	bootleg
sf2sl73a	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (Sheng Long v 7.3a)	2013	Drakon
sf2stt	Fighting	2	horizontal	sf2	Street Fighter II: The World Warrior (TAB Austria, bootleg, set 2)	1992	bootleg
sf2thndr	Fighting	2	horizontal	sf2	Street Fighter II: The World Warrior (Thunder Edition, bootleg, set 1)	1991	bootleg
sf2thndr2	Fighting	2	horizontal	sf2	Street Fighter II: The World Warrior (Thunder Edition, bootleg, set 2)	1991	bootleg
sf2tlona	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (Tu Long, Chinese bootleg, set 1)	1992	bootleg
sf2tlona2	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (Tu Long, Chinese bootleg, set 1, alternate dump)	1992	bootleg
sf2tlonb	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (Tu Long, Chinese bootleg, set 2)	1992	bootleg
sf2tlonb2	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (Tu Long, Chinese bootleg, set 2, alternate dump)	1992	bootleg
sf2tlonc	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (Tu Long, Chinese bootleg, set 3)	1992	bootleg
sf2tlonc2	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (Tu Long, Chinese bootleg, set 3, alternate dump)	1992	bootleg
sf2ua	Fighting	2	horizontal	sf2	Street Fighter II: The World Warrior (USA 910206)	1991	Capcom
sf2ub	Fighting	2	horizontal	sf2	Street Fighter II: The World Warrior (USA 910214)	1991	Capcom
sf2uc	Fighting	2	horizontal	sf2	Street Fighter II: The World Warrior (USA 910306)	1991	Capcom
sf2ud	Fighting	2	horizontal	sf2	Street Fighter II: The World Warrior (USA 910318)	1991	Capcom
sf2ue	Fighting	2	horizontal	sf2	Street Fighter II: The World Warrior (USA 910228)	1991	Capcom
sf2uf	Fighting	2	horizontal	sf2	Street Fighter II: The World Warrior (USA 910411)	1991	Capcom
sf2ug	Fighting	2	horizontal	sf2	Street Fighter II: The World Warrior (USA 910522, Rev. G)	1991	Capcom
sf2uh	Fighting	2	horizontal	sf2	Street Fighter II: The World Warrior (USA 910522, Rev. H)	1991	Capcom
sf2ui	Fighting	2	horizontal	sf2	Street Fighter II: The World Warrior (USA 910522, Rev. I)	1991	Capcom
sf2uk	Fighting	2	horizontal	sf2	Street Fighter II: The World Warrior (USA 911101)	1991	Capcom
sf2um	Fighting	2	horizontal	sf2	Street Fighter II: The World Warrior (USA 920312)	1991	Capcom
sf2v004	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (V004, bootleg, set 1)	1992	bootleg
sf2v0042	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (V004, bootleg, set 2)	1992	bootleg
sf2v0043	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (V004, bootleg, set 3)	1992	bootleg
sf2yyc	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (YYC, bootleg, set 1)	1992	bootleg
sf2yyc2	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (YYC, bootleg, set 2)	1992	bootleg
sfa	Fighting	2	horizontal		Street Fighter Alpha: Warriors' Dreams (Europe 950727)	1995	Capcom
sfa2	Fighting	2	horizontal		Street Fighter Alpha 2 (Europe 960229)	1996	Capcom
sfa2u	Fighting	2	horizontal	sfa2	Street Fighter Alpha 2 (USA 960430)	1996	Capcom
sfa2uhc	Fighting	2	horizontal	sfa2	Street Fighter Alpha 2 - Unlock Hidden Characters (Hack By Yumeji)	2009	Hack
sfa2ultra	Fighting	2	horizontal	sfa2	Street Fighter Alpha 2 Ultra (Beta)	2023	hack (bankbank)
sfa2ur1	Fighting	2	horizontal	sfa2	Street Fighter Alpha 2 (USA 960306)	1996	Capcom
sfa3	Fighting	2	horizontal		Street Fighter Alpha 3 (Europe 980904)	1998	Capcom
sfa3b	Fighting	2	horizontal	sfa3	Street Fighter Alpha 3 (Brazil 980629)	1998	Capcom
sfa3br	Fighting	2	horizontal	sfa3	Street Fighter Alpha 3 (Brasil 050513, v2.0, Hack)	2005	hack (Alan Web Page)
sfa3ce	Fighting	2	horizontal	sfa3	Street Fighter Alpha 3: Challenger's Edition	2022	Grego and Gnawtor
sfa3h	Fighting	2	horizontal	sfa3	Street Fighter Alpha 3 (Hispanic 980904)	1998	Capcom
sfa3hr1	Fighting	2	horizontal	sfa3	Street Fighter Alpha 3 (Hispanic 980629)	1998	Capcom
sfa3sp2	Fighting	2	horizontal	sfa3	Street Fighter Alpha 3 (Hidden Character Full Version Fix ver. 2009-09-27, Hack)	2009	Pipi899
sfa3u	Fighting	2	horizontal	sfa3	Street Fighter Alpha 3 (USA 980904)	1998	Capcom
sfa3ud	Fighting	2	horizontal	sfa3	Street Fighter Alpha 3 (USA 980904 Phoenix Edition) (bootleg)	1998	bootleg
sfa3ur1	Fighting	2	horizontal	sfa3	Street Fighter Alpha 3 (USA 980629)	1998	Capcom
sfa3us	Fighting	2	horizontal	sfa3	Street Fighter Alpha 3 (USA 980616, SAMPLE Version)	1998	Capcom
sfa3xl	Fighting	2	horizontal	sfa3	Street Fighter Alpha 3: Xiang Long Edition (Hack by pipi899, Ver.2009-05-10)	2009	Hack
sfach	Fighting	2	horizontal	sfzch	Street Fighter Alpha: Warriors' Dreams (CPS Changer, Publicity USA 950727)	1995	Capcom
sfad	Fighting	2	horizontal	sfa	Street Fighter Alpha: Warriors' Dreams (Europe 950727 Phoenix Edition) (bootleg)	1995	bootleg
sfan	Fighting	2	horizontal	sf	Street Fighter (World, pneumatic buttons)	1987	Capcom
sfar1	Fighting	2	horizontal	sfa	Street Fighter Alpha: Warriors' Dreams (Europe 950718)	1995	Capcom
sfar2	Fighting	2	horizontal	sfa	Street Fighter Alpha: Warriors' Dreams (Europe 950627)	1995	Capcom
sfar3	Fighting	2	horizontal	sfa	Street Fighter Alpha: Warriors' Dreams (Europe 950605)	1995	Capcom
sfau	Fighting	2	horizontal	sfa	Street Fighter Alpha: Warriors' Dreams (USA 950627)	1995	Capcom
sfaud	Fighting	2	horizontal	sfa	Street Fighter Alpha: Warriors' Dreams (USA 950727 Phoenix Edition) (bootleg)	1995	bootleg
sfiii	Fighting	2	horizontal		Street Fighter III: New Generation (Europe 970204)	1997	Capcom
sfiii2	Fighting	2	horizontal		Street Fighter III 2nd Impact: Giant Attack (USA 970930)	1997	Capcom
sfiii2bh	Fighting	2	horizontal	sfiii2	Street Fighter III 2nd Impact: Giant Attack (Boss Hack)	201?	Yumeji
sfiii2h	Fighting	2	horizontal	sfiii2	Street Fighter III 2nd Impact: Giant Attack (Hispanic 970930)	1997	Capcom
sfiii2j	Fighting	2	horizontal	sfiii2	Street Fighter III 2nd Impact: Giant Attack (Japan 970930)	1997	Capcom
sfiii2n	Fighting	2	horizontal	sfiii2	Street Fighter III 2nd Impact: Giant Attack (Asia 970930, NO CD)	1997	Capcom
sfiii3	Fighting	2	horizontal		Street Fighter III 3rd Strike: Fight for the Future (Europe 990608)	1999	Capcom
sfiii3bh	Fighting	2	horizontal	sfiii3	Street Fighter III 3rd Strike: Fight for the Future (Boss Hack)	201?	Yumeji
sfiii3j	Fighting	2	horizontal	sfiii3	Street Fighter III 3rd Strike: Fight for the Future (Japan 990608)	1999	Capcom
sfiii3jr1	Fighting	2	horizontal	sfiii3	Street Fighter III 3rd Strike: Fight for the Future (Japan 990512)	1999	Capcom
sfiii3n	Fighting	2	horizontal	sfiii3	Street Fighter III 3rd Strike: Fight for the Future (Japan 990608, NO CD)	1999	Capcom
sfiii3na	Fighting	2	horizontal	sfiii3	Street Fighter III 3rd Strike: Fight for the Future (Asia 990608, NO CD)	1999	Capcom
sfiii3nar1	Fighting	2	horizontal	sfiii3	Street Fighter III 3rd Strike: Fight for the Future (Asia 990512, NO CD)	1999	Capcom
sfiii3nr1	Fighting	2	horizontal	sfiii3	Street Fighter III 3rd Strike: Fight for the Future (Japan 990512, NO CD)	1999	Capcom
sfiii3r1	Fighting	2	horizontal	sfiii3	Street Fighter III 3rd Strike: Fight for the Future (Europe 990512)	1999	Capcom
sfiii3th	Fighting	2	horizontal	sfiii3	Street Fighter III 3rd Strike: Fight for the Future | re:THIRD update	2021	hack
sfiii3u	Fighting	2	horizontal	sfiii3	Street Fighter III 3rd Strike: Fight for the Future (USA 990608)	1999	Capcom
sfiii3ur1	Fighting	2	horizontal	sfiii3	Street Fighter III 3rd Strike: Fight for the Future (USA 990512)	1999	Capcom
sfiii3ws	Fighting	2	horizontal	sfiii3	Street Fighter III 3rd Strike: Fight for the Future (Widescreen 20220908)	2022	Bank Bank
sfiii4fs	Fighting	2	horizontal	sfiii3	Street Fighter III 3rd Strike: Fight for the Future (4rd Strike 2011-07-17)	2011	hack
sfiii4n	Fighting	2	horizontal	sfiii3	Street Fighter III 3rd Strike: Fight for the Future (4rd Arrange Edition 2013)	2013	hack
sfiiia	Fighting	2	horizontal	sfiii	Street Fighter III: New Generation (Asia 970204)	1997	Capcom
sfiiibh	Fighting	2	horizontal	sfiii	Street Fighter III: New Generation (Boss Hack)	201?	Yumeji
sfiiih	Fighting	2	horizontal	sfiii	Street Fighter III: New Generation (Hispanic 970204)	1997	Capcom
sfiiij	Fighting	2	horizontal	sfiii	Street Fighter III: New Generation (Japan 970204)	1997	Capcom
sfiiin	Fighting	2	horizontal	sfiii	Street Fighter III: New Generation (Asia 970204, NO CD, BIOS set 1)	1997	Capcom
sfiiina	Fighting	2	horizontal	sfiii	Street Fighter III: New Generation (Asia 970204, NO CD, BIOS set 2)	1997	Capcom
sfiiiu	Fighting	2	horizontal	sfiii	Street Fighter III: New Generation (USA 970204)	1997	Capcom
sfj	Fighting	2	horizontal	sf	Street Fighter (Japan) (protected)	1987	Capcom
sfjan	Fighting	2	horizontal	sf	Street Fighter (Japan, pneumatic buttons)	1987	Capcom
sformula	Racing	2	vertical	tail2nos	Super Formula (Japan, set 1)	1989	V-System Co.
sformulaa	Racing	2	vertical	tail2nos	Super Formula (Japan, set 2)	1989	V-System Co.
sfp	Fighting	2	horizontal	sf	Street Fighter (prototype)	1987	Capcom
sfposeid	Horizontal shooter	2	horizontal		Sea Fighter Poseidon	1984	Taito Corporation
sfpp	Fighting	2	horizontal	sf	Street Fighter (Plus Plus)	2014	Yumeji
sftm	Fighting	2	horizontal		Street Fighter: The Movie (v1.12)	1995	Capcom / Incredible Technologies
sftm110	Fighting	2	horizontal	sftm	Street Fighter: The Movie (v1.10)	1995	Capcom / Incredible Technologies
sftm111	Fighting	2	horizontal	sftm	Street Fighter: The Movie (v1.11)	1995	Capcom / Incredible Technologies
sftmj112	Fighting	2	horizontal	sftm	Street Fighter: The Movie (v1.12N, Japan)	1995	Capcom / Incredible Technologies
sftmj114	Fighting	2	horizontal	sftm	Street Fighter: The Movie (v1.14N, Japan)	1995	Capcom / Incredible Technologies
sftmk112	Fighting	2	horizontal	sftm	Street Fighter: The Movie (v1.12K, Korea)	1995	Capcom / Incredible Technologies
sfua	Fighting	2	horizontal	sf	Street Fighter (US, set 2) (protected)	1987	Capcom
sfw	Fighting	2	horizontal	sf	Street Fighter (World) (protected)	1987	Capcom
sfx	Horizontal shooter	2	horizontal		SF-X	1983	Nihon Game (Nichibutsu license)
sfz2a	Fighting	2	horizontal	sfa2	Street Fighter Zero 2 (Asia 960227)	1996	Capcom
sfz2ad	Fighting	2	horizontal	sfa2	Street Fighter Zero 2 (Asia 960227 Phoenix Edition) (bootleg)	1996	bootleg
sfz2adl	Fighting	2	horizontal	sfz2al	Street Fighter Zero 2 Alpha: Dragon Level (Hack by pipi899, Ver.2009-04-24)	2009	Hack
sfz2al	Fighting	2	horizontal		Street Fighter Zero 2 Alpha (Asia 960826)	1996	Capcom
sfz2alb	Fighting	2	horizontal	sfz2al	Street Fighter Zero 2 Alpha (Brazil 960813)	1996	Capcom
sfz2ald	Fighting	2	horizontal	sfz2al	Street Fighter Zero 2 Alpha (Asia 960826 Phoenix Edition) (bootleg)	1996	bootleg
sfz2alh	Fighting	2	horizontal	sfz2al	Street Fighter Zero 2 Alpha (Hispanic 960813)	1996	Capcom
sfz2alj	Fighting	2	horizontal	sfz2al	Street Fighter Zero 2 Alpha (Japan 960805)	1996	Capcom
sfz2alr1	Fighting	2	horizontal	sfz2al	Street Fighter Zero 2 Alpha (Asia 960805)	1996	Capcom
sfz2b	Fighting	2	horizontal	sfa2	Street Fighter Zero 2 (Brazil 960531)	1996	Capcom
sfz2br1	Fighting	2	horizontal	sfa2	Street Fighter Zero 2 (Brazil 960304)	1996	Capcom
sfz2h	Fighting	2	horizontal	sfa2	Street Fighter Zero 2 (Hispanic 960304)	1996	Capcom
sfz2j	Fighting	2	horizontal	sfa2	Street Fighter Zero 2 (Japan 960430)	1996	Capcom
sfz2jd	Fighting	2	horizontal	sfa2	Street Fighter Zero 2 (Japan 960227 Phoenix Edition) (bootleg)	1996	bootleg
sfz2jr1	Fighting	2	horizontal	sfa2	Street Fighter Zero 2 (Japan 960227)	1996	Capcom
sfz2n	Fighting	2	horizontal	sfa2	Street Fighter Zero 2 (Oceania 960229)	1996	Capcom
sfz3a	Fighting	2	horizontal	sfa3	Street Fighter Zero 3 (Asia 980904)	1998	Capcom
sfz3ar1	Fighting	2	horizontal	sfa3	Street Fighter Zero 3 (Asia 980701)	1998	Capcom
sfz3j	Fighting	2	horizontal	sfa3	Street Fighter Zero 3 (Japan 980904)	1998	Capcom
sfz3jr1	Fighting	2	horizontal	sfa3	Street Fighter Zero 3 (Japan 980727)	1998	Capcom
sfz3jr2	Fighting	2	horizontal	sfa3	Street Fighter Zero 3 (Japan 980629)	1998	Capcom
sfz3jr2d	Fighting	2	horizontal	sfa3	Street Fighter Zero 3 (Japan 980629 Phoenix Edition) (bootleg)	1998	bootleg
sfz3mix	Fighting	2	horizontal	sfa3	Street Fighter Zero 3 Mix v0.32	2026	hack (zero800)
sfz3mix13	Fighting	2	horizontal	sfa3	Street Fighter Zero 3 Mix v0.13	2022	hack
sfz3te	Fighting	2	horizontal	sfa3	Street Fighter Zero 3: Training Edition v1.2 (Japan 980629)	2022	hack
sfza	Fighting	2	horizontal	sfa	Street Fighter Zero (Asia 950627)	1995	Capcom
sfzach	Fighting	2	horizontal	sfzch	Street Fighter Zero (CPS Changer, Asia 950925)	1995	Capcom
sfzar1	Fighting	2	horizontal	sfa	Street Fighter Zero (Asia 950605)	1995	Capcom
sfzb	Fighting	2	horizontal	sfa	Street Fighter Zero (Brazil 951109)	1995	Capcom
sfzbch	Fighting	2	horizontal	sfzch	Street Fighter Zero (CPS Changer, Brazil 950727)	1995	Capcom
sfzbr1	Fighting	2	horizontal	sfa	Street Fighter Zero (Brazil 950727)	1995	Capcom
sfzch	Fighting	2	horizontal		Street Fighter Zero (CPS Changer, Japan 951020)	1995	Capcom
sfzcha	Fighting	2	horizontal	sfzch	Street Fighter Zero (CPS Changer, Japan 040820)	2005	Capcom
sfzech	Fighting	2	horizontal	sfzch	Street Fighter Zero (CPS Changer, Europe 950727)	1995	Capcom
sfzh	Fighting	2	horizontal	sfa	Street Fighter Zero (Hispanic 950718)	1995	Capcom
sfzhch	Fighting	2	horizontal	sfzch	Street Fighter Zero (CPS Changer, Hispanic 950727)	1995	Capcom
sfzhr1	Fighting	2	horizontal	sfa	Street Fighter Zero (Hispanic 950627)	1995	Capcom
sfzj	Fighting	2	horizontal	sfa	Street Fighter Zero (Japan 950727)	1995	Capcom
sfzjr1	Fighting	2	horizontal	sfa	Street Fighter Zero (Japan 950627)	1995	Capcom
sfzjr2	Fighting	2	horizontal	sfa	Street Fighter Zero (Japan 950605)	1995	Capcom
sgemf	Fighting	2	horizontal		Super Gem Fighter: Mini Mix (USA 970904)	1997	Capcom
sgemfa	Fighting	2	horizontal	sgemf	Super Gem Fighter: Mini Mix (Asia 970904)	1997	Capcom
sgemfd	Fighting	2	horizontal	sgemf	Super Gem Fighter: Mini Mix (USA 970904 Phoenix Edition) (bootleg)	1997	bootleg
sgemfh	Fighting	2	horizontal	sgemf	Super Gem Fighter: Mini Mix (Hispanic 970904)	1997	Capcom
sgladiat	Racing	2	horizontal		Gladiator 1984	1984	SNK
sgmast	Sports	2	horizontal		Super Masters Golf (World?, Floppy Based, FD1094 317-0058-05d?)	1989	Sega
sgmastc	Sports	2	horizontal	sgmast	Jumbo Ozaki Super Masters Golf (World, Floppy Based, FD1094 317-0058-05c)	1989	Sega
sgmastj	Sports	2	horizontal	sgmast	Jumbo Ozaki Super Masters Golf (Japan, Floppy Based, FD1094 317-0058-05b)	1989	Sega
sgunner	Shooter	2	horizontal		Steel Gunner (Rev B)	1990	Namco
sgunner2	Shooter	2	horizontal		Steel Gunner 2 (US)	1991	Namco
sgunner2j	Shooter	2	horizontal	sgunner2	Steel Gunner 2 (Japan, Rev A)	1991	Namco
sgunnerj	Shooter	2	horizontal	sgunner	Steel Gunner (Japan)	1990	Namco
sgyxz	Beat 'em up	3	horizontal	wof	SanGuo YingXiongZhuan (Chinese bootleg of Sangokushi II, set 1)	1999	bootleg (All-In Electronic)
sgyxza	Beat 'em up	3	horizontal	wof	SanGuo YingXiongZhuan (Chinese bootleg of Sangokushi II, set 2)	1999	bootleg (All-In Electronic)
sgyxzb	Beat 'em up	3	horizontal	wof	SanGuo YingXiongZhuan (Chinese bootleg of Sangokushi II, set 3)	1999	bootleg (All-In Electronic)
sgz	Beat 'em up	1	horizontal		Shadow Gangs Zero (Backers Demo V1.0)	2026	JKM Corp.
shackled	Maze / Run & gun	2	horizontal		Shackled (US)	1986	Data East USA
shadfrce	Beat 'em up	2	horizontal		Shadow Force (World, Version 3)	1993	Technos Japan
shadfrcej	Beat 'em up	2	horizontal	shadfrce	Shadow Force - Henshin Ninja (Japan, Version 2)	1993	Technos Japan
shadfrceu	Beat 'em up	2	horizontal	shadfrce	Shadow Force (US, Version 2)	1993	Technos Japan
shadowld	Run & gun	2	horizontal		Shadowland (YD3)	1987	Namco
shadoww	Beat 'em up	2	horizontal		Shadow Warriors (World, set 1)	1988	Tecmo
shadowwa	Beat 'em up	2	horizontal	shadoww	Shadow Warriors (World, set 2)	1988	Tecmo
shangha3	Mahjong	2	horizontal		Shanghai III (World)	1993	Sunsoft
shangha3j	Mahjong	2	horizontal	shangha3	Shanghai III (Japan)	1993	Sunsoft
shangha3u	Mahjong	2	horizontal	shangha3	Shanghai III (US)	1993	Sunsoft
shangha3up	Mahjong	2	horizontal	shangha3	Shanghai III (US, prototype)	1993	Sunsoft
shangkid	Fighting	2	horizontal		Shanghai Kid	1985	Taiyo System (Data East license)
shangon	Racing	2	horizontal		Super Hang-On (sitdown/upright) (unprotected)	1987	Sega
shangon1	Racing	2	horizontal	shangon	Super Hang-On (mini ride-on) (FD1089B 317-0034)	1987	Sega
shangon2	Racing	2	horizontal	shangon	Super Hang-On (mini ride-on, Rev A) (FD1089B 317-0034)	1987	Sega
shangon3	Racing	2	horizontal	shangon	Super Hang-On (sitdown/upright) (FD1089B 317-0034)	1987	Sega
shangon3d	Racing	2	horizontal	shangon	Super Hang-On (sitdown/upright) (bootleg of FD1089B 317-0034 set)	1987	bootleg
shangoneh	Racing	2	horizontal	shangon	Super Hang-On (sitdown/upright, unprotected) (Enhanced Edition v2.0.2)	2014	hack (Chris White)
shangonle	Racing	2	horizontal	shangon	Limited Edition Hang-On	1991	Sega
shangonleeh	Racing	2	horizontal	shangon	Limited Edition Hang-On (Enhanced Edition v2.0.2)	2014	hack (Chris White)
shaolinb	Beat 'em up	2	vertical	kicker	Shao-lin's Road (set 2)	1985	Konami
shaolins	Beat 'em up	2	vertical	kicker	Shao-lin's Road (set 1)	1985	Konami
sharkatt	Action	2	horizontal		Shark Attack	1980	Pacific Novelty
sharrier	Shooter	2	horizontal		Space Harrier (Rev A, 8751 315-5163A)	1985	Sega
sharrier1	Shooter	2	horizontal	sharrier	Space Harrier (8751 315-5163)	1985	Sega
shdancer	Platform / Beat 'em up	2	horizontal		Shadow Dancer (World)	1989	Sega
shdancer1	Platform / Beat 'em up	2	horizontal	shdancer	Shadow Dancer (US)	1989	Sega
shdancerj	Platform / Beat 'em up	2	horizontal	shdancer	Shadow Dancer (Japan)	1989	Sega
shimpact	Football	4	horizontal		Super High Impact (rev LA2 10/22/91)	1991	Midway
